Description,Offense,Punishment,Section
"Description of IPC Section 325
According to section 325 of Indian penal code, Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 325 in Simple Words
Section 325 of the Indian Penal Code states that if someone voluntarily causes severe injuries to another person, they can be punished with imprisonment for up to seven years, and may also be fined.",Voluntarily causing grievous hurt,7 Years + Fine,325
"Description of IPC Section 326
According to section 326 of Indian penal code, Whoever, except in the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance, or by means of any explosive substance, or by means of any substance which it is deleterious to the human body to inhale, to swallow, or to receive into the blood, or by means of any animal, shall be punished with imprisonment for life, or with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 326 in Simple Words
Section 326 of the Indian Penal Code states that if someone voluntarily causes severe injuries using various dangerous means or instruments, they can be punished with life imprisonment or imprisonment for up to ten years, and may also be fined.",Voluntarily causing grievous hurt by dangerous weapons or means,Imprisonment for Life or 10 Years + Fine,326
"Description of IPC Section 326A
According to section 326A of Indian penal code, Whoever causes permanent or partial damage or deformity to, or bums or maims or disfigures or disables, any part or parts of the body of a person or causes grievous hurt by throwing acid on or by administering acid to that person, or by using any other means with the intention of causing or with the knowledge that he is likely to cause such injury or hurt, shall be punished with imprisonment of either description for a term which shall not be less than ten years but which may extend to imprisonment for life, and with fine;

Provided that such fine shall be just and reasonable to meet the medical expenses of the treatment of the victim;

Provided further that any fine imposed under this section shall be paid to the victim.


IPC 326A in Simple Words
Section 326A of the Indian Penal Code punishes those who cause severe harm, such as permanent damage, deformity, or grievous hurt to someone by throwing acid or using any other means, with imprisonment of 10 years to life and a fine. The fine is intended to cover the victim's medical expenses.","Voluntarily causing grievous hurt by use of acid, etc.",10 years to Life + Fine paid to the victim,326A
"Description of IPC Section 326B
According to section 326B of Indian penal code, Whoever throws or attempts to throw acid on any person or attempts to administer acid to any person, or attempts to use any other means, with the intention of causing permanent or partial damage or deformity or bums or maiming or disfigurement or disability or grievous hurt to that person, shall be punished with imprisonment of either description for a term which shall not be less than five years but which may extend to seven years, and shall also be liable to fine.


Explanations
For the purposes of section 326A and this section, “acid” includes any substance which has acidic or corrosive character or burning nature, that is capable of causing bodily injury leading to scars or disfigurement or temporary or permanent disability.
For the purposes of section 326A and this section, permanent or partial damage or deformity shall not be required to be irreversible.


IPC 326B in Simple Words
Section 326B of the Indian Penal Code punishes those who throw or attempt to throw acid on someone with the intent to cause severe harm, such as permanent damage, disfigurement, or grievous hurt, with imprisonment of 5 to 7 years and a fine. The definition of ""acid"" includes any substance that can cause bodily injury leading to scars or disability.",Voluntarily throwing or attempting to throw acid,5 to 7 years + Fine,326B
"Description of IPC Section 327
According to section 327 of Indian penal code, Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 327 in Simple Words
Section 327 of the Indian Penal Code states that if someone voluntarily causes hurt to another person with the purpose of extorting property, valuables, or compelling them to do something illegal or facilitate the commission of an offense, they can be punished with imprisonment for up to ten years, and may also be fined.","Voluntarily causing hurt to extort property or a valuable security, or to constrain to do anything which is illegal or which may facilitate the commission of an offence",10 Years + Fine,327
"Description of IPC Section 328
According to section 328 of Indian penal code, Whoever administers to or causes to be taken by any person any poison or any stupefying, intoxicating or unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 328 in Simple Words
Section 328 of the Indian Penal Code states that if someone administers poison or any harmful substance to another person with the intent to cause harm, facilitate an offense, or knowing it may cause harm, they can be punished with imprisonment for up to ten years, and may also be fined.","Administering stupefying drug with intent to cause hurt, etc.",10 Years + Fine,328
"Description of IPC Section 329
According to section 329 of Indian penal code, Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any property or valuable security, or of constraining the sufferer or any person interested in such sufferer to do anything that is illegal or which may facilitate the commission of an offence, shall be punished with imprisonment for life, or imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 329 in Simple Words
Section 329 of the Indian Penal Code states that if someone voluntarily causes severe injuries to another person with the purpose of extorting property, valuables, or compelling them to do something illegal or facilitate the commission of an offense, they can be punished with life imprisonment or imprisonment for up to ten years, and may also be fined.","Voluntarily causing grievous hurt to extort property or a valuable security, or to constrain to do anything which is illegal, or which may facilitate the commission of an offence",Imprisonment for Life or 10 Years + Fine,329
"Description of IPC Section 330
According to section 330 of Indian penal code, Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person interested in the sufferer, any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 330 in Simple Words
Section 330 of the Indian Penal Code states that if someone voluntarily causes hurt to another person with the purpose of extorting a confession, information, property, or valuables, they can be punished with imprisonment for up to seven years and may also be fined.","Voluntarily causing hurt to extort confession or information of property, etc.",7 Years + Fine,330
"Description of IPC Section 331
According to section 331 of Indian penal code, Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any person interested in the sufferer any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to satisfy any claim or demand or to give information which may lead to the restoration of any property or valuable security shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 331 in Simple Words
Section 331 of the Indian Penal Code states that if someone voluntarily causes severe injuries to another person with the purpose of extorting a confession, information, property, or valuables, they can be punished with imprisonment for up to ten years and may also be fined.","Voluntarily causing grievous hurt to extort confession or information or to compel restoration of property, etc.",10 Years + Fine,331
"Description of IPC Section 332
According to section 332 of Indian penal code, Whoever voluntarily causes hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 332 in Simple Words
Section 332 of the Indian Penal Code states that if someone voluntarily causes hurt to a public servant while they are performing their duty, or with the intent to prevent or deter them or any other public servant from performing their duty, or as a consequence of their lawful actions as a public servant, they can be punished with imprisonment for up to three years, or a fine, or both.",Voluntarily causing hurt to deter public servant from his duty,3 Years or Fine or Both,332
"Description of IPC Section 333
According to section 333 of Indian penal code, Whoever voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent to prevent or deter that person or any other public servant from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by that person in the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 333 in Simple Words
Section 333 of the Indian Penal Code states that if someone intentionally causes severe injuries to a public servant while they are performing their duty, or with the intent to prevent them or any other public servant from performing their duty, or as a consequence of their lawful actions as a public servant, they can be punished with imprisonment for up to ten years and may also be fined.",Voluntarily causing grievous hurt to deter public servant from his duty,10 Years + Fine,333
"Description of IPC Section 334
According to section 334 of Indian penal code, Whoever voluntarily causes hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other than the person who gave the provocation, shall be punished with imprisonment of either description for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.


IPC 334 in Simple Words
Section 334 of the Indian Penal Code states that if someone voluntarily causes hurt in response to serious and sudden provocation, without intending or knowing it might harm anyone other than the person who provoked them, they can be punished with imprisonment for up to one month, or a fine of up to five hundred rupees, or both.","Voluntarily causing hurt on grave and sudden provocation, not intending to hurt any other than the person who gave the provocation",1 Month or Fine or Both,334
"Description of IPC Section 335
According to section 335 of Indian penal code, Whoever voluntarily causes grievous hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause grievous hurt to any person other than the person who gave the provocation shall be punished with imprisonment of either description for a term which may extend to four years, or with fine which may extend to two thousand rupees, or with both.


IPC 335 in Simple Words
Section 335 of the Indian Penal Code states that if someone voluntarily causes severe injuries in response to serious and sudden provocation, without intending or knowing it might harm anyone other than the person who provoked them, they can be punished with imprisonment for up to four years, or a fine of up to two thousand rupees, or both.","Causing grievous hurt on Grave and sudden provocation, not intending to hurt and other than the person who gave the provocation",4 Years or Fine or Both,335
"Description of IPC Section 336
According to section 336 of Indian penal code, Whoever does any act so rashly or negligently as to endanger human life or the personal safety others, shall be punished with imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees, or with both.


IPC 336 in Simple Words
Section 336 of the Indian Penal Code states that if someone acts rashly or negligently, endangering human life or the personal safety of others, they can be punished with imprisonment for up to three months, or a fine of up to two hundred and fifty rupees, or both.",Doing any act which endangers human life or the personal safety of others,3 Months or Fine or Both,336
"Description of IPC Section 337
According to section 337 of Indian penal code, Whoever causes hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to six months, or with fine which may extend to five hundred rupees, or with both.


IPC 337 in Simple Words
Section 337 of the Indian Penal Code states that if someone causes hurt to another person by acting rashly or negligently, endangering human life or others' safety, they can be punished with imprisonment for up to six months, or a fine of up to five hundred rupees, or both.","Causing hurt by an act which endangers human life, etc.",6 Months or Fine or Both,337
"Description of IPC Section 338
According to section 338 of Indian penal code, Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of others, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine which may extend to one thousand rupees, or with both.


IPC 338 in Simple Words
Section 338 of the Indian Penal Code states that if someone causes serious injuries to another person by acting recklessly or negligently, endangering human life or others' safety, they can be punished with imprisonment for up to two years, or a fine of up to one thousand rupees, or both.","Causing grievous hurt by an act which endangers human life, etc.",2 Years or Fine or Both,338
"Description of IPC Section 339
According to section 339 of Indian penal code, Whoever voluntarily obstructs any person so as to prevent that person from proceeding in any direction in which that person has a right to proceed, is said wrongfully to restrain that person.


IPC 339 in Simple Words
Section 339 of the Indian Penal Code states that if someone willingly blocks another person's path, preventing them from moving in a direction they have the right to go, it is considered 'wrongful restraint'.",nan,nan,339
"Description of IPC Section 340
According to section 340 of Indian penal code, Whoever wrongfully restrains any person in such a manner as to prevent that person from proceeding beyond certain circumscribing limits, is said “wrongfully to confine” that person.


IPC 340 in Simple Words
Section 340 of the Indian Penal Code defines that if someone wrongfully restrains a person in a way that prevents them from moving beyond certain limits, it is considered 'wrongful confinement'.",nan,nan,340
"Description of IPC Section 341
According to section 341 of Indian penal code, Whoever wrongfully restrains any person shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to five hundred rupees, or with both.


IPC 341 in Simple Words
Section 341 of the Indian Penal Code states that anyone who wrongfully restrains a person can be punished with simple imprisonment for up to one month, or a fine of up to five hundred rupees, or both.",Wrongfully restraining any person,Simple Imprisonment for 1 Month or Fine or Both,341
"Description of IPC Section 342
According to section 342 of Indian penal code, Whoever wrongfully confines any person shall be punished with simple imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.


IPC 342 in Simple Words
Section 342 of the Indian Penal Code states that anyone who wrongfully confines a person can be punished with simple imprisonment for up to one year, or a fine of up to one thousand rupees, or both.",Wrongfully confining any person,1 Year or Fine or Both,342
"Description of IPC Section 343
According to section 343 of Indian penal code, Whoever wrongfully confines any person for three days or more, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 343 in Simple Words
Section 343 of the Indian Penal Code states that anyone who wrongfully confines a person for three days or more can be punished with imprisonment for up to two years, or a fine, or both.",Wrongfully confining for 3 or more days,2 Years or Fine or Both,343
"Description of IPC Section 344
According to section 344 of Indian penal code, Whoever wrongfully confines any person for ten days, or more, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 344 in Simple Words
Section 344 of the Indian Penal Code states that anyone who wrongfully confines a person for ten days or more can be punished with imprisonment for up to three years and may also be fined.",Wrongfully confining for 10 or more days,3 Years + Fine,344
"Description of IPC Section 345
According to section 345 of Indian penal code, Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any term of imprisonment to which he may be liable under any other section of this Chapter.


IPC 345 in Simple Words
Section 345 of the Indian Penal Code states that if someone wrongfully keeps a person in confinement, knowing that a writ for their release has been issued, they can be punished with imprisonment for up to two years, in addition to any other punishment they may receive under different sections of this Chapter.","Keeping any person in wrongful confinement, knowing that a writ has been issued for his liberation",2 Years in addition to imprisonment under any other section,345
"Description of IPC Section 346
According to section 346 of Indian penal code, Whoever wrongfully confines any person in such manner as to indicate an intention that the confinement of such person may not be known to any person interested in the person so confined, or to any public servant, or that the place of such confinement may not be known to or discovered by any such person or public servant as hereinbefore mentioned, shall be punished with imprisonment of either description for a term which may extend to two years in addition to any other punishment to which he may be liable for such wrongful confinement.


IPC 346 in Simple Words
Section 346 of the Indian Penal Code states that anyone who wrongfully confines a person in a way that indicates an intention to keep the confinement hidden from anyone concerned or from public servants can be punished with imprisonment for up to two years, in addition to any other applicable punishment for the wrongful confinement.",Wrongful confinement in secret,2 Years in addition to imprisonment under any other section,346
"Description of IPC Section 347
According to section 347 of Indian penal code, Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 347 in Simple Words
Section 347 of the Indian Penal Code states that anyone who unlawfully confines a person with the intent of extorting property, valuable security, or compelling them to do something illegal or provide information for the commission of an offense can be punished with imprisonment for up to three years and may also be fined.","Wrongful confinement for the purpose of extorting property, or constraining to an illegal act, etc.",3 Years + Fine,347
"Description of IPC Section 348
According to section 348 of Indian penal code, Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine.


IPC 348 in Simple Words
Section 348 of the Indian Penal Code states that anyone who unlawfully confines a person with the intention of extracting a confession, information, or property, through coercion or constraint, can be punished with imprisonment for up to three years and may also be fined.","Wrongful confinement for the purpose of extorting confession or information, or of compelling restoration of property etc.",3 Years + Fine,348
"Description of IPC Section 349
According to section 349 of Indian penal code, A person is said to use force to another if he causes motion, change of motion, or cessation of motion to that other, or if he causes to any substance such motion, or change of motion, or cessation of motion as brings that substance into contact with any part of that other’s body, or with anything which that other is wearing or carrying, or with anything so situated that such contact affects that other’s sense of feeling;
Provided that the person causing the motion, or change of motion, or cessation of motion, causes that motion, change of motion, or cessation of motion in one of the three ways hereinafter described:
By his own bodily power.
By disposing any substance in such a manner that the motion or change or cessation of motion takes place without any further act on his part, or on the part of any other person.
By inducing any animal to move, to change its motion, or to cease to move.


IPC 349 in Simple Words
Section 349 of the Indian Penal Code defines using force as causing motion, change of motion, or cessation of motion to another person or substance in a way that affects their body or senses, through bodily power, placing a substance to cause motion without further action, or influencing an animal's movement.",nan,nan,349
"Description of IPC Section 350
According to section 350 of Indian penal code, Whoever intentionally uses force to any person, without that personâ€™s consent, in order to the committing of any offence, or intending by the use of such force to cause, or knowing it to be likely that by the use of such force he will cause injury, fear or annoyance to the person to whom the force is used, is said to use criminal force to that other.


IPC 350 in Simple Words
Section 350 of the Indian Penal Code states that if someone intentionally uses force on another person without their consent to commit an offense or to cause injury, fear, or annoyance to that person, it is considered using criminal force.",nan,nan,350
"Description of IPC Section 351
According to section 351 of Indian penal code, Whoever makes any gesture, or any preparation intending or knowing it to be likely that such gesture or preparation will cause any person present to apprehend that he who makes that gesture or preparation is about to use criminal force to that person, is said to commit an assault.


IPC 351 in Simple Words
Section 351 of the Indian Penal Code states that if someone makes a gesture or prepares to use criminal force in a way that causes another person to fear an imminent attack, they are considered to have committed an assault.",nan,nan,351
"Description of IPC Section 352
According to section 352 of Indian penal code, Whoever assaults or uses criminal force to any person otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine which may extend to five hundred rupees, or with both.


IPC 352 in Simple Words
Section 352 of the Indian Penal Code states that if someone assaults or uses criminal force against another person without any serious and sudden provocation, they can be punished with imprisonment for up to three months, or a fine of up to five hundred rupees, or both.",Assault or use of criminal force otherwise than on grave provocation,3 Months or Fine or Both,352
"Description of IPC Section 353
According to section 353 of Indian penal code, Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 353 in Simple Words
Section 353 of the Indian Penal Code states that if someone assaults or uses criminal force against a public servant while they are performing their duty, or with the intent to prevent or deter them from doing so, or as a consequence of their lawful actions as a public servant, they can be punished with imprisonment for up to two years, or a fine, or both.",Assault or use of criminal force to deter a public servant from discharge of his duty,2 Years or Fine or Both,353
"Description of IPC Section 354
According to section 354 of Indian penal code, Whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by outrage her modesty, shall be punished with imprisonment of either description for a term which shall not be less than one year but which may extend to five years, and shall also be liable to fine.


IPC 354 in Simple Words
Section 354 of the Indian Penal Code states that anyone who assaults or uses criminal force against a woman with the intention of outraging her modesty, or knowing that such an act is likely to outrage her modesty, can be punished with imprisonment ranging from one to five years and may also be fined.",Assault or use of criminal force to woman with intent to outrage her modesty,1 to 5 years + Fine,354
"Description of IPC Section 354A
According to section 354A of Indian penal code,
A man committing any of the following actsâ€”
physical contact and advances involving unwelcome and explicit sexual overtures; or
a demand or request for sexual favours; or
showing pornography against the will of a woman; or
making sexually coloured remarks, shall be guilty of the offence of sexual harassment.
Any man who commits the offence specified in clause (i) or clause (ii) or clause (iii) of sub-section (1) shall be punished with rigorous imprisonment for a term which may extend to three years, or with fine, or with both.
Any man who commits the offence specified in clause (iv) of sub-section (1) shall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both.


IPC 354A in Simple Words
According to section 354A of the Indian Penal Code, any man who engages in unwelcome and explicit sexual behavior, demands sexual favors, shows pornography against a woman's will, or makes sexually colored remarks can be punished with imprisonment or fine.",Sexual harassment of the nature of unwelcome physical contact and advances or a demand or request for sexual favours or showing pornography,Upto 3 years or Fine or Both,354A
"Description of IPC Section 354B
According to section 354B of Indian penal code, Any man who assaults or uses criminal force to any woman or abets such act with the intention of disrobing or compelling her to be naked, shall be punished with imprisonment of either description for a term which shall not be less than three years but which may extend to seven years, and shall also be liable to fine.


IPC 354B in Simple Words
According to section 354B of the Indian Penal Code, any man who assaults, uses criminal force, or abets such act on a woman with the intention of disrobing or compelling her to be naked, can be imprisoned for three to seven years and fined.",Criminal force to woman with intent to disrobe,3 to 7 years + Fine,354B
"Description of IPC Section 354C
According to section 354C of Indian penal code, Any man who watches, or captures the image of a woman engaging in a private act in circumstances where she would usually have the expectation of not being observed either by the perpetrator or by any other person at the behest of the perpetrator or disseminates such image shall be punished on first conviction with imprisonment of either description for a term which shall not be less than one year, but which may extend to three years, and shall also be liable to fine, and be punished on a second or subsequent conviction, with imprisonment of either description for a term which shall not be less than three years, but which may extend to seven years, and shall also be liable to fine.


Explanations
For the purpose of this section, “private act” includes an act of watching carried out in a place which, in the circumstances, would reasonably be expected to provide privacy and where the victim’s genitals, posterior or breasts are exposed or covered only in underwear; or the victim is using a lavatory; or the victim is doing a sexual act that is not of a kind ordinarily done in public.
Where the victim consents to the capture of the images or any act, but not to their dissemination to third persons and where such image or act is disseminated, such dissemination shall be considered an offence under this section.


IPC 354C in Simple Words
According to section 354C of the Indian Penal Code, any man who watches, captures images of a woman's private act, or disseminates such images without her consent, can be imprisoned for one to three years on first conviction and three to seven years on subsequent convictions, along with a fine. ""Private act"" includes acts in a place with reasonable privacy and involving exposure of genitals, posterior, or breasts, or acts not done ordinarily in public.",nan,nan,354C
"Description of IPC Section 354D
According to section 354D of Indian penal code, (1) Any man who—
follows a woman and contacts, or attempts to contact such woman to foster personal interaction repeatedly despite a clear indication of disinterest by such woman; or
monitors the use by a woman of the internet, email or any other form of electronic communication,
commits the offence of stalking;

Provided that such conduct shall not amount to stalking if the man who pursued it proves that—
it was pursued for the purpose of preventing or detecting crime and the man accused of stalking had been entrusted with the responsibility of prevention and detection of crime by the State; or
it was pursued under any law or to comply with any condition or requirement imposed by any person under any law; or
in the particular circumstances such conduct was reasonable and justified.
(2) Whoever commits the offence of stalking shall be punished on first conviction with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine; and be punished on a second or subsequent conviction, with imprisonment of either description for a term which may extend to five years, and shall also be liable to fine.


IPC 354D in Simple Words
According to section 354D of the Indian Penal Code, any man who repeatedly follows, contacts, or monitors a woman's electronic communications despite her clear disinterest commits the offence of stalking and can be imprisoned for up to three years on first conviction and up to five years on subsequent convictions, along with a fine. However, certain justifiable circumstances may not be considered stalking.",Stalking,Upto 3 years + Fine for first conviction,354D
"Description of IPC Section 355
According to section 355 of Indian penal code, Whoever assaults or uses criminal force to any person, intending thereby to dishonour that person, otherwise than on grave and sudden provocation given by that person, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 355 in Simple Words
Section 355 of the Indian Penal Code states that if someone intentionally assaults or uses criminal force against another person to dishonor them, except in cases of serious and sudden provocation from that person, they can be punished with imprisonment for up to two years, or a fine, or both.","Assault or criminal force with intent to dishonour a person, otherwise than on grave and sudden provocation",2 Years or Fine or Both,355
"Description of IPC Section 356
According to section 356 of Indian penal code, Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 356 in Simple Words
Section 356 of the Indian Penal Code states that if someone assaults or uses criminal force against another person while attempting to steal something that person is wearing or carrying, they can be punished with imprisonment for up to two years, or a fine, or both.",Assault or criminal force in attempt to commit theft of property worn or carried by a person,2 Years or Fine or Both,356
"Description of IPC Section 357
According to section 357 of Indian penal code, Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, shall be punished with imprisonment of either description for a term which may extend to one year, or with fine which may extend to one thousand rupees, or with both.


IPC 357 in Simple Words
Section 357 of the Indian Penal Code states that if someone assaults or uses criminal force against another person while trying to wrongfully confine them, they can be punished with imprisonment for up to one year, or a fine of up to one thousand rupees, or both.",Assault or use of criminal Force in attempt wrongfully to confine a person,1 Year or Fine or Both,357
"Description of IPC Section 358
According to section 358 of Indian penal code, Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, shall be punished with simple imprisonment for a term which may extend to one month, or with fine which may extend to two hundred rupees, or with both.


IPC 358 in Simple Words
Section 358 of the Indian Penal Code states that if someone assaults or uses criminal force against another person due to a serious and sudden provocation, they can be punished with imprisonment for up to one month or a fine of up to two hundred rupees, or both.",Assault or use of criminal force on grave and sudden provocation,Simple Imprisonment for 1 Month or Fine or Both,358
"Description of IPC Section 359
According to section 359 of Indian penal code, Kidnapping is of two kinds: kidnapping from India, and kidnapping from lawful guardianship.


IPC 359 in Simple Words
Section 359 of the Indian Penal Code defines two types of kidnapping: kidnapping from India and kidnapping from lawful guardianship.",nan,nan,359
"Description of IPC Section 360
According to section 360 of Indian penal code, Whoever conveys any person beyond the limits of India without the consent of that person, or of some person legally authorized to consent on behalf of that person, is said to kidnap that person from India.


IPC 360 in Simple Words
Section 360 of the Indian Penal Code says that taking a person outside India without their consent or the consent of someone authorized to consent on their behalf is considered kidnapping from India.",nan,nan,360
"Description of IPC Section 361
According to section 361 of Indian penal code, Whoever takes or entices any minor under sixteen years of age if a male, or under eighteen years of age if a female, or any person of unsound mind, out of the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such guardian, is said to kidnap such minor or person from lawful guardianship.


IPC 361 in Simple Words
Section 361 of the Indian Penal Code states that taking a minor or a person of unsound mind away from their lawful guardian without their consent is considered kidnapping.",nan,nan,361
"Description of IPC Section 362
According to section 362 of Indian penal code, Whoever by force compels, or by any deceitful means induces any person to go from any place, is said to abduct that person.


IPC 362 in Simple Words
In the Indian Penal Code, if someone uses force or deceitful means to make a person leave a place, it is considered abduction.",nan,nan,362
"Description of IPC Section 363
According to section 363 of Indian penal code, Whoever kidnaps any person from India or from lawful guardianship, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 363 in Simple Words
In the Indian Penal Code, anyone who kidnaps a person from India or from lawful guardianship can be punished with imprisonment for up to seven years and fined.",Kidnapping,7 Years + Fine,363
"Description of IPC Section 363A
According to section 363A of Indian penal code,
Whoever kidnaps any minor or, not being the lawful guardian of a minor, obtains the custody of the minor, in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.
Whoever maims any minor in order that such minor may be employed or used for the purposes of begging shall be punishable with imprisonment for life, and shall also be liable to fine.
Where any person, not being the lawful guardian of a minor, employs or uses such minor for the purposes of begging, it shall be presumed, unless the contrary is proved, that he kidnapped or otherwise obtained the custody of that minor in order that the minor might be employed or used for the purposes of begging.
In this section
“begging” means:
soliciting or receiving alms in a public place, whether under the pretence of singing, dancing, fortunetelling, performing tricks or selling articles or otherwise;
entering on any private premises for the purpose of soliciting or receiving alms;
exposing or exhibiting, with the object of obtaining or extorting alms, any sore, wound, injury, deformity or disease, whether of himself or of any other person or of an animal;
using a minor as an exhibit for the purpose of soliciting or receiving alms;
“minor” means:
in the case of a male, a person under sixteen years of age; and
in the case of a female, a person under eighteen years of age.


IPC 363A in Simple Words
According to section 363A of the Indian Penal Code, anyone who kidnaps a minor or obtains custody of a minor (not being the lawful guardian) to use the minor for begging purposes can be imprisoned for up to ten years and fined. If someone maims a minor for the same purpose, they can face life imprisonment and a fine. If a person uses a minor for begging, it is presumed that they obtained custody of the minor for begging purposes, unless proven otherwise.",Kidnapping or obtaining the custody of a minor in order that such minor may be employed or used for purposes of begging,10 Years + Fine.,363A
"Description of IPC Section 364
According to section 364 of Indian penal code, Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, shall be punished with imprisonment for life or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 364 in Simple Words
In the Indian Penal Code, anyone who kidnaps or abducts a person with the intention of either murdering them or putting them in danger of being murdered can be punished with life imprisonment or rigorous imprisonment for up to ten years, along with a fine.",Kidnapping or abducting in order to murder,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,364
"Description of IPC Section 364A
According to section 364A of Indian penal code, Whoever kidnaps or abducts any person or keeps a person in detention after such kidnapping or abduction, and threatens to cause death or hurt to such person, or by his conduct gives rise to a reasonable apprehension that such person may be put to death or hurt, or causes hurt or death to such person in order to compel the Government or any foreign State or international inter-governmental organisation or any other person to do or abstain from doing any act or to pay a ransom, shall be punishable with death or imprisonment for life, and shall also be liable to fine.


IPC 364A in Simple Words
According to section 364A of the Indian Penal Code, whoever kidnaps or abducts a person, threatens to cause harm, or causes harm to the person to compel the Government, foreign State, or others to do something or pay a ransom, can be punished with death or life imprisonment and fined.","Kidnapping for ransom, etc.",Death or Life + Fine,364A
